X,Y,item,device_id,device_id1,Desc_,UpdateDate,UpdateTime,link,Route,ImageName,VideoURL,ORG,latitude,longitude,Type,FID,VideoURL_HB,VideoURL_HD,REGION,RECORDED,COMMON_ID,FUNCTION,Column1
-10208067.21,5169797.17,,59527023,,CR - I-380 @ Tower Terrace (20Q),20251112,120438,,I-380,CR - I-380 @ Tower Terrace (20Q),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv20qlb/playlist.m3u8,IADOT,42.058838,-91.700628,Iowa DOT,247133,,,Cedar Rapids,Y,CRTV20Q,General,
-10285537.68,5115623.286,,59527024,,I-80 @ MM 200,20251112,120438,,I-80,I-80 @ MM 200,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV200lb/playlist.m3u8,IADOT,41.696492,-92.396557,Iowa DOT,247134,,,I-80,Y,80TV200,General,
-10216318.44,5154631.142,,59526985,,CR - US 30 @ 80th St SW (60),20251112,120438,,US 30,CR - US 30 @ 80th St SW (60),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv60lb/playlist.m3u8,IADOT,41.957606,-91.77475,Iowa DOT,247138,,,Cedar Rapids,Y,CRTV60,General,
-10200909.04,5115431.712,,59527034,,IC - I-80 @ I-380 NB Flyover (39),20251112,120438,,I-80,IC - I-80 @ I-380 NB Flyover (39),https://iowadotsfs2.us-east-1.skyvdn.com:443/rtplive/ictv39lb/playlist.m3u8,IADOT,41.695207,-91.636325,Iowa DOT,247161,,,Iowa City,Y,ICTV39,General,
-10201625.49,5121870.839,,59527039,,IC - I-380 @ MM 3.15 (37),20251112,120438,,I-380,IC - I-380 @ MM 3.15 (37),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv37lb/playlist.m3u8,IADOT,41.738384,-91.642761,Iowa DOT,247166,,,Iowa City,Y,ICTV37,General,
-10276959.17,5115535.475,,59527041,,I-80 @ MM 204,20251112,120438,,I-80,I-80 @ MM 204,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV204lb/playlist.m3u8,IADOT,41.695903,-92.319495,Iowa DOT,247168,,,I-80,Y,80TV204,General,
-10297519.33,5115322.435,,59527043,,I-80 @ MM 194,20251112,120438,,I-80,I-80 @ MM 194,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV194lb/playlist.m3u8,IADOT,41.694474,-92.50419,Iowa DOT,247170,,,I-80,Y,80TV194,General,
-10225001.02,5114215.718,,59527057,,IC - I-80 @ Y Ave (26),20251112,120438,,I-80,IC - I-80 @ Y Ave (26),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/ictv26lb/playlist.m3u8,IADOT,41.68705,-91.852747,Iowa DOT,247172,,,Iowa City,Y,ICTV26,General,
-10205321.07,5157339.817,,59527055,,CR - I-380 @ 1st Ave SW (09Q),20251112,120438,,I-380,CR - I-380 @ 1st Ave SW (09Q),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv09qlb/playlist.m3u8,IADOT,41.975698,-91.675959,Iowa DOT,247194,,,Cedar Rapids,Y,CRTV09Q,General,
-10248721.2,5114540.683,,59527755,,I-80 @ MM 217,20251113,4512,,I-80,I-80 @ MM 217,https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/80TV217lb/playlist.m3u8,IADOT,41.68923,-92.065829,Iowa DOT,247213,,,I-80,Y,80TV217,General,
-10211007.5,5165183.174,,59527071,,CR - IA 100 Near Xavier High School - MM 6.2 (54),20251112,120438,,IA 100,CR - IA 100 Near Xavier High School - MM 6.2 (54),https://iowadotsfs1.us-east-1.skyvdn.com:443/rtplive/crtv54lb/playlist.m3u8,IADOT,42.028057,-91.727041,Iowa DOT,247222,,,Cedar Rapids,Y,CRTV54,General,
